Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
0, ВАЗ (Lada),2114 (хэтчбек) ,2013,"    2350000
    ₸
",Алматы,хэтчбек,1.6 (бензин),149 165 км,механика,слева,белый,передний привод,Да,,,
1, ВАЗ (Lada),2190 (седан) ,2016,"    2200000
    ₸
",Караганда,седан,1.6 (бензин),103 253 км,автомат,слева,серебристый,передний привод,Нет,,,
2, Kia,Sportage ,2015,"    7600000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),118 000 км,автомат,слева,белый,полный привод,Да,,,
3, ВАЗ (Lada),2191 (лифтбек) ,2016,"    2300000
    ₸
",Нур-Султан (Астана),лифтбек,1.6 (бензин),130 000 км,автомат,слева,серебристый,передний привод,Нет,,,
4, Skoda,Octavia ,2012,"    3800000
    ₸
",Нур-Султан (Астана),лифтбек,1.6 (бензин),253 000 км,автомат,слева,белый,передний привод,Да,,,
5, Toyota,Camry ,2013,"    8500000
    ₸
",Шымкент,седан,2.5 (бензин),66 934 км,автомат,слева,черный,передний привод,Да,,,
6, Toyota,Land Cruiser ,2007,"    14000000
    ₸
",Кокшетау,внедорожник,4.5 (бензин),200 450 км,механика,слева,серебристый,полный привод,Да,,,
7, Hyundai,Grandeur ,2018,"    9500000
    ₸
",Шымкент,седан,2.2 (дизель),777 км,автомат,слева,серебристый,передний привод,Да,,,
8, Toyota,Corolla ,2013,"    7850000
    ₸
",Алматы,седан,1.6 (бензин),171 000 км,автомат,слева,серый,передний привод,Да,NMTBB3JE*0R****28,,
9, Lexus,LX 570 ,2019,"    48000000
    ₸
",Шымкент,кроссовер,5.7 (бензин),25 000 км,автомат,слева,серый,полный привод,Да,,,
10, Nissan,X-Trail ,2008,"    5400000
    ₸
",Костанай,кроссовер,2 (бензин),150 км,автомат,слева,серебристый металлик,полный привод,Да,,,
11, Toyota,Land Cruiser Prado ,2005,"    9200000
    ₸
",Уральск,внедорожник,4 (бензин),248 000 км,автомат,слева,белый,полный привод,Да,JTEBU25J*55****90,,
12, ВАЗ (Lada),2107 ,2011,"    900000
    ₸
",Талдыкорган,седан,1.6 (бензин),,механика,слева,зеленый,задний привод,Да,,,
13, Mercedes-Benz,S 320 ,1999,"    3800000
    ₸
",Караганда,седан,3.2 (бензин),320 000 км,автомат,слева,черный,задний привод,Да,,,
14, Hyundai,Tucson ,2018,"    9900000
    ₸
",Алматы,кроссовер,2 (бензин),34 300 км,автомат,слева,бежевый металлик,полный привод,Да,,,
15, ВАЗ (Lada),2110 (седан) ,2000,"    500000
    ₸
",Павлодар,седан,1.5 (бензин),,механика,слева,серый,передний привод,Нет,,,
16, Hyundai,Starex ,2016,"    10300000
    ₸
",Актобе,минивэн,2.5 (дизель),62 000 км,автомат,слева,серебристый металлик,задний привод,Да,,,
17, Infiniti,QX60 ,2017,"    16500000
    ₸
",Шымкент,кроссовер,3.5 (бензин),96 745 км,вариатор,слева,синий металлик,полный привод,Да,5N1AL0MM*GC****01,,
18, Infiniti,QX50 ,2017,"    12900000
    ₸
",Алматы,кроссовер,2.5 (бензин),31 000 км,автомат,слева,белый,полный привод,Да,,,
19, Opel,Astra ,1999,"    1450000
    ₸
",Казыгурт,универсал,1.6 (бензин),,механика,слева,серебристый металлик,передний привод,Нет,,,
0, Lexus,ES 350 ,2007,"    6300000
    ₸
",Нур-Султан (Астана),седан,3.5 (газ-бензин),,автомат,слева,,передний привод,Да,,,
1, Mitsubishi,Delica ,1995,"    2500000
    ₸
",Алматы,микровэн,2.8 (дизель),,автомат,справа,зеленый металлик,полный привод,Да,,,
2, Toyota,Camry ,2005,"    3500000
    ₸
",Риддер,седан,2.4 (бензин),132 300 км,автомат,справа,золотистый,передний привод,Нет,,,
3, Lexus,LX 470 ,2007,"    10500000
    ₸
",Алматы,внедорожник,4.7 (бензин),168 861 км,автомат,слева,черный,полный привод,Да,,,
4, Daewoo,Matiz ,2008,"    900000
    ₸
",Уральск,хэтчбек,0.8 (бензин),95 500 км,механика,слева,синий,передний привод,Нет,,,
5, Toyota,Land Cruiser ,2017,"    33000000
    ₸
",Алматы,внедорожник,4.6 (бензин),47 000 км,автомат,слева,белый,полный привод,Да,,,
6, FAW,6371 ,2011,"    1500000
    ₸
",Актау,минивэн,1.1 (бензин),110 км,механика,слева,серебристый,,Да,,,
7, Mercedes-Benz,S 500 ,2007,"    5250000
    ₸
",Алматы,седан,5.5 (бензин),222 000 км,автомат,слева,черный,полный привод,Да,,,
8, ВАЗ (Lada),2170 (седан) ,2013,"    2300000
    ₸
",Алматы,седан,1.6 (газ-бензин),247 257 км,механика,слева,черный,передний привод,Да,,,
9, Volkswagen,Passat ,1992,"    1250000
    ₸
",Шымкент,универсал,2 (бензин),404 540 км,механика,слева,черный,передний привод,Да,,,
10, Toyota,Fortuner ,2014,"    12000000
    ₸
",Темиртау,внедорожник,2.7 (бензин),142 000 км,автомат,слева,белый,полный привод,Да,,,
11, Volkswagen,Transporter ,1992,"    2200000
    ₸
",Петропавловск,минивэн,2.5 (бензин),,механика,слева,серебристый,передний привод,Да,,,
12, Mercedes-Benz,S 500 ,1991,"    2000000
    ₸
",Алматы,купе,4.2 (бензин),330 520 км,автомат,слева,сиреневый,задний привод,Да,,,
13, Kia,Sportage ,2014,"    7700000
    ₸
",Караганда,кроссовер,2 (бензин),125 000 км,автомат,слева,серый,полный привод,Да,,,
14, ВАЗ (Lada),2114 (хэтчбек) ,2013,"    1500000
    ₸
",Актау,хэтчбек,1.5 (бензин),181 000 км,механика,слева,белый металлик,передний привод,Да,,,
15, Ravon,R4 ,2019,"    5200000
    ₸
",Шымкент,седан,1.5 (бензин),20 000 км,автомат,слева,серебристый,передний привод,Да,,,
16, Hyundai,Accent ,2013,"    4400000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),201 000 км,автомат,слева,белый,передний привод,Да,,,
17, ВАЗ (Lada),2115 (седан) ,2007,"    780000
    ₸
",Костанай,седан,1.5 (бензин),,механика,слева,зеленый,передний привод,Нет,,,
18, Mercedes-Benz,S 400 ,2014,"    23500000
    ₸
",Алматы,седан,3 (бензин),,автомат,слева,черный,полный привод,Да,,,
19, Toyota,Camry ,2017,"    11700000
    ₸
",Алматы,седан,2.5 (бензин),116 000 км,автомат,слева,серебристый,передний привод,Да,,,
0, Mercedes-Benz,S 500 ,2002,"    3200000
    ₸
",Актау,седан,5 (газ-бензин),,автомат,слева,серебристый металлик,полный привод,Да,,,
1, BMW,535 ,2007,"    6200000
    ₸
",Шымкент,седан,3 (бензин),,автомат,слева,белый,полный привод,Да,,,
2, Mitsubishi,Lancer ,2011,"    4200000
    ₸
",Шымкент,седан,1.8 (газ-бензин),223 000 км,автомат,слева,серебристый металлик,передний привод,Да,,,
3, Hyundai,Tucson ,2021,"    10900000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),11 км,автомат,слева,белый металлик,полный привод,Нет,,,
4, Toyota,Highlander ,2002,"    7300000
    ₸
",Алматы,кроссовер,3 (бензин),145 000 км,автомат,слева,золотистый,полный привод,Да,,,
5, ВАЗ (Lada),2170 (седан) ,2013,"    2050000
    ₸
",Семей,седан,1.6 (бензин),150 000 км,механика,слева,,передний привод,Да,,,
6, Subaru,Forester ,1997,"    2900000
    ₸
",Алматы,кроссовер,2 (бензин),,автомат,справа,серебристый,полный привод,Да,,,
7, Lexus,RX 270 ,2013,"    12500000
    ₸
",Актобе,кроссовер,2.7 (бензин),101 384 км,автомат,слева,черный металлик,передний привод,Да,,,
8, Chevrolet,Niva ,2006,"    1800000
    ₸
",Рудный,внедорожник,1.7 (бензин),148 000 км,механика,слева,серый металлик,полный привод,Да,,,
9, Toyota,Camry ,2014,"    5999999
    ₸
",Кокшетау,седан,2.5 (газ-бензин),132 000 км,автомат,слева,белый,передний привод,Нет,,,
10, ВАЗ (Lada),2110 (седан) ,2007,"    850000
    ₸
",Караганда,седан,1.8 (бензин),157 000 км,механика,слева,черный,передний привод,Нет,,,
